,oa,f_1,f_2,f_3,f_4,f_5,f_6
370,0.942364116,0.957054356,0.969307708,0.993705613,0.928823095,0.823593809,0.925343863
371,0.93970854,0.959094858,0.961288248,0.996065214,0.915996283,0.816814556,0.936589372
372,0.943635583,0.966437267,0.959293243,0.996572567,0.931231774,0.825552296,0.927106812
373,0.936228774,0.947840749,0.971071614,0.993157912,0.920282963,0.810165687,0.908659476
374,0.941878955,0.950047675,0.972274317,0.995531208,0.925104963,0.819875566,0.932774167
375,0.939611924,0.947585962,0.967483215,0.99516753,0.931432248,0.814175899,0.929278944
376,0.94541224,0.961725306,0.972934515,0.996664191,0.924637374,0.827464203,0.932474933
377,0.939963995,0.949826635,0.970617765,0.997308425,0.922265066,0.819347945,0.917315689
378,0.94598067,0.974585574,0.965244514,0.994331385,0.931766477,0.831798632,0.918746667
379,0.948458572,0.972441419,0.968884801,0.996586094,0.931211705,0.839002067,0.922606772
380,0.945597704,0.976557038,0.960840357,0.995576892,0.915795156,0.830358777,0.942724705
381,0.932655655,0.940011805,0.964051257,0.994170403,0.921265498,0.799489809,0.919704031
382,0.945809773,0.967929868,0.962671658,0.99733219,0.92276151,0.831272169,0.942797851
383,0.934135863,0.926982295,0.963400862,0.995111948,0.936594347,0.799057834,0.940874347
384,0.948078632,0.961752683,0.962638739,0.995788475,0.92914711,0.842378653,0.956759963
385,0.952664469,0.977776383,0.971991839,0.993470588,0.931066227,0.853393333,0.933244355
386,0.942578645,0.956628481,0.961787128,0.994516391,0.925050957,0.822340364,0.956166482
387,0.937648445,0.961643081,0.960197705,0.995235529,0.915126405,0.808893031,0.928381288
388,0.934651452,0.9439867,0.964748658,0.994376364,0.91450144,0.808501062,0.924738789
389,0.954036587,0.978496346,0.964190283,0.993885005,0.946418829,0.860368909,0.932288665
390,0.946438571,0.963871513,0.964537695,0.995358089,0.929502666,0.830466915,0.951204156
391,0.945012503,0.96024328,0.969040835,0.99632069,0.92306584,0.828922527,0.943040021
392,0.939666018,0.943122462,0.966777106,0.997254276,0.925846486,0.813678578,0.945754008
393,0.94105645,0.968077621,0.96000239,0.993220902,0.918904413,0.817067533,0.940005606
394,0.938644857,0.9502045,0.968236901,0.995273571,0.915272095,0.811277418,0.940442413
395,0.944456543,0.955617944,0.963444378,0.997006167,0.94546056,0.826177364,0.928010729
396,0.946732599,0.974414813,0.962604965,0.998138489,0.921828222,0.837462162,0.927255965
397,0.952932093,0.975623696,0.969089508,0.998178588,0.930978974,0.850762129,0.941599243
398,0.936285427,0.953562028,0.963217508,0.994976847,0.923326889,0.806609455,0.917134484
399,0.945536798,0.955829312,0.968643116,0.996969456,0.934379583,0.828183398,0.941263369
